,date,text
0,Wed Dec 23 10:41:49 +0000 2020,W akcję @MON_GOV_PL i #WojskoPolskie 🇵🇱 - #oddajOSOCZE włączyli się żołnierze z 41 Bazy Lotnictwa Szkolnego #Dęblin i 42 Bazy Lotnictwa Szkolnego #Radom. Osocze od ozdrowieńców to ratunek dla chorych na #koronawirus.a. Jeden dawca może być źródłem leku aż dla trzech pacjentów. https://t.co/pso2cv3Hte
1,Wed Dec 23 10:41:49 +0000 2020,W akcję @MON_GOV_PL i #WojskoPolskie 🇵🇱 - #oddajOSOCZE włączyli się żołnierze z 41 Bazy Lotnictwa Szkolnego #Dęblin i 42 Bazy Lotnictwa Szkolnego #Radom. Osocze od ozdrowieńców to ratunek dla chorych na #koronawirus.a. Jeden dawca może być źródłem leku aż dla trzech pacjentów. https://t.co/pso2cv3Hte
2,Wed Dec 23 10:22:19 +0000 2020,Pora na drugą fotkę @MICHALESISZ #michallesisz #radom #zdjecie #fotka #ja #mojpokoj #mojdom #mojemiasto #2020 #grudzien #polska #polish #poland https://t.co/WQg4Rno213
3,Wed Dec 23 10:21:22 +0000 2020,W akcję @MON_GOV_PL i #WojskoPolskie 🇵🇱 - #oddajOSOCZE włączyli się żołnierze z 41 Bazy Lotnictwa Szkolnego #Dęblin i 42 Bazy Lotnictwa Szkolnego #Radom. Osocze od ozdrowieńców to ratunek dla chorych na #koronawirus.a. Jeden dawca może być źródłem leku aż dla trzech pacjentów. https://t.co/pso2cv3Hte
4,Wed Dec 23 10:15:04 +0000 2020,"#koronawirus: Najwięcej nowych przypadków wystąpiło w #Radom.iu i powiecie radomskim oraz w powiatach #kozienickim i #grójeckim.
https://t.co/PGlWXA25Uk"
5,Wed Dec 23 09:45:19 +0000 2020,W akcję @MON_GOV_PL i #WojskoPolskie 🇵🇱 - #oddajOSOCZE włączyli się żołnierze z 41 Bazy Lotnictwa Szkolnego #Dęblin i 42 Bazy Lotnictwa Szkolnego #Radom. Osocze od ozdrowieńców to ratunek dla chorych na #koronawirus.a. Jeden dawca może być źródłem leku aż dla trzech pacjentów. https://t.co/pso2cv3Hte
6,Wed Dec 23 08:37:44 +0000 2020,"Trwa budowa radomskiego lotniska [WIDEO; ZDJĘCIA]

https://t.co/Q2k3ZTuZxM

#radom #radom24 https://t.co/yMcUDZEJkH"
7,Wed Dec 23 08:35:40 +0000 2020,"Trwa budowa radomskiego lotniska [WIDEO; ZDJĘCIA]

https://t.co/Q2k3ZTuZxM

#radom #radom24 https://t.co/yMcUDZEJkH"
8,Wed Dec 23 08:33:01 +0000 2020,"Mocna Rozmowa: Bp Piotr Turzyński [WIDEO]

Gościem w programie ""Mocna Rozmowa"" w https://t.co/L4Rdtmrmct był ks. Piotr Turzyński; biskup pomocniczy Diecezji Radomskiej.

https://t.co/g7FI9mtBbj

#radom #radom24"
9,Wed Dec 23 08:32:21 +0000 2020,"Trwa budowa radomskiego lotniska [WIDEO; ZDJĘCIA]

https://t.co/Q2k3ZTuZxM

#radom #radom24 https://t.co/yMcUDZEJkH"
10,Wed Dec 23 07:13:06 +0000 2020,"Liczba mieszkańców #Płock spadła; co jest w dużej mierze efektem ujemnego przyrostu naturalnego. ➡️https://t.co/UiOB3VQnZP

Sprawdź najnowsze dane statystyczne dostępne również dla #Ostrołęka; #Radom i #Siedlce.

#Mazowsze #statystyki #ludność https://t.co/g8yiqmrgoq"
11,Tue Dec 22 22:08:24 +0000 2020,"Dzisiaj ostatni dzień szkoły przed prawie miesięczną labą. Jutro zaczyna się przerwa świąteczna; a po Nowym Roku już od 4 stycznia – ferie zimowe

Więcej: https://t.co/1c0PXIb27P

#naukazdalna #szkoła #Radom"
12,Tue Dec 22 21:38:02 +0000 2020,"#Ławeczka Stanisława Mikołajczyka; premiera rządu Rzeczypospolitej na uchodźstwie już gotowa. #Rzeźba przyjedzie do #Radom.ia jeszcze w grudniu; a wiosną przyszłego roku; jeśli pozwolą na to warunki epidemiczne; stanie w parku Kościuszki

Więcej: https://t.co/VieySsqQsl https://t.co/ZUw3n5cQue"
13,Tue Dec 22 21:36:04 +0000 2020,"#Ławeczka Stanisława Mikołajczyka; premiera rządu Rzeczypospolitej na uchodźstwie już gotowa. #Rzeźba przyjedzie do #Radom.ia jeszcze w grudniu; a wiosną przyszłego roku; jeśli pozwolą na to warunki epidemiczne; stanie w parku Kościuszki

Więcej: https://t.co/VieySsqQsl https://t.co/ZUw3n5cQue"
14,Tue Dec 22 14:05:58 +0000 2020,"Nowy przetarg na budowę S7 do Grójca: https://t.co/BQ8PJOLSfq

#radom #radom24 https://t.co/Tn8ii5VYxw"
15,Tue Dec 22 12:25:50 +0000 2020,#10lattemu pisałem na #blogpiłkarskamafia: Kolejni działacze Radomiaka Radom zatrzymani #korupcja #sport #PZPN #fubol #RadomiakRadom #Radomiak #Radom https://t.co/13MxdpIH6O
16,Tue Dec 22 11:25:56 +0000 2020,"Poseł @KonradFrysztak z @KO_Obywatelska na dzisiejszej konferencji prasowej mówił o odrzuconych przez PiS poprawkach do budżetu państwa; które dotyczyły ziemi radomskiej.

https://t.co/v89I7RIAVX

#Radom"
17,Tue Dec 22 09:22:30 +0000 2020,"Program LIFE. Szeroki wachlarz inwestycji Wodociągów Miejskich: https://t.co/jgZK0JzJ7l

#radom #radom24 https://t.co/i6dZMAhf9Q"
18,Tue Dec 22 09:13:17 +0000 2020,Ostatniej doby na #blogpiłkarskamafia najchętniej czytaliście artykuł: Komisja Dyscyplinarna PZPN pyta Radomiak o Grzegorza G. #korupcja #sport #PZPN #futbol #Radomiak #Radom #RadomiakRadom  https://t.co/A2ffD4veMd
19,Tue Dec 22 09:04:41 +0000 2020,Ostatniej doby na #blogpiłkarskamafia najchętniej czytaliście artykuł: Komisja Dyscyplinarna PZPN pyta Radomiak o Grzegorza G. #korupcja #sport #PZPN #futbol #Radomiak #Radom #RadomiakRadom  https://t.co/A2ffD4veMd
20,Tue Dec 22 08:34:58 +0000 2020,Ostatniej doby na #blogpiłkarskamafia najchętniej czytaliście artykuł: Komisja Dyscyplinarna PZPN pyta Radomiak o Grzegorza G. #korupcja #sport #PZPN #futbol #Radomiak #Radom #RadomiakRadom  https://t.co/A2ffD4veMd
21,Tue Dec 22 08:13:07 +0000 2020,"Mocna Rozmowa: Mateusz Tyczyński [WIDEO]

Gościem w programie ""Mocna Rozmowa"" w https://t.co/L4Rdtmrmct był Mateusz Tyczyński; wiceprezydent Radomia.

https://t.co/8JFOXlmFc5

#radom #radom24"
22,Tue Dec 22 08:05:47 +0000 2020,"Ciekawa praca za wysokie wynagrodzenie [OGŁOSZENIE]

https://t.co/9sIwPjMTIX

#radom #radom24 https://t.co/AMVP8J1M4H"
23,Tue Dec 22 07:28:47 +0000 2020,"Karetka dla noworodków. Zakup z Budżetu Obywatelskiego: https://t.co/imSqAi3pRx

#radom #radom24 https://t.co/X4rRZHZhhs"
24,Mon Dec 21 21:49:08 +0000 2020,#10lattemu pisałem na #blogpiłkarskamafia: Kolejni działacze Radomiaka Radom zatrzymani #korupcja #sport #PZPN #fubol #RadomiakRadom #Radomiak #Radom https://t.co/13MxdpIH6O
25,Mon Dec 21 21:48:50 +0000 2020,#10lattemu pisałem na #blogpiłkarskamafia: Kolejni działacze Radomiaka Radom zatrzymani #korupcja #sport #PZPN #fubol #RadomiakRadom #Radomiak #Radom https://t.co/13MxdpIH6O
26,Mon Dec 21 17:32:03 +0000 2020,"Resocjalizacja przez pracę. Hala o powierzchni ponad 3 tysiące metrów kwadratowych powstanie na terenie aresztu śledczego w #Radom.iu. Mają w niej powstać miejsca odpłatnej pracy dla osadzonych

Więcej: https://t.co/YqYF9pD5ME

#więzienie #praca https://t.co/QWSxz1Yyw1"
27,Mon Dec 21 15:01:05 +0000 2020,#Lubelskie. Coraz wygodniej w podróż #kolej.ą ze stacji #Lublin Gł. Podróżni mają do dyspozycji 4 perony. Dogodny dostęp do🚄zapewniają windy. Są lepsze warunki podróży regio i do #Warszawa;#Kielce i #Radom. W marcu planowane zakończenie prac.#FunduszeUE👉https://t.co/aSd4prnjiq https://t.co/aWipPeJdjm
