,date,text
0,Wed Dec 30 14:21:28 +0000 2020,"@mbank_research DIE PLN; DIEEE😂🤭🤑🤑
Eurusd 0.87 do 5-10 lat ( bliżej 5) Na ten moment wybijanie SL.
Eurpln 4.72 za niedługo
Usdpln 5.8 do 2 lat
Usdpln między 5-10 lat po 20
#kryzys 
30 lat wolności to za długo jak na Polskę 😂 https://t.co/5xK7nu7FoI"
1,Wed Dec 30 14:21:28 +0000 2020,"@mbank_research DIE PLN; DIEEE😂🤭🤑🤑
Eurusd 0.87 do 5-10 lat ( bliżej 5) Na ten moment wybijanie SL.
Eurpln 4.72 za niedługo
Usdpln 5.8 do 2 lat
Usdpln między 5-10 lat po 20
#kryzys 
30 lat wolności to za długo jak na Polskę 😂 https://t.co/5xK7nu7FoI"
2,Tue Dec 29 13:28:12 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
3,Tue Dec 29 08:36:13 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
4,Mon Dec 28 22:04:43 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
5,Mon Dec 28 19:42:12 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
6,Mon Dec 28 15:58:19 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
7,Mon Dec 28 15:28:41 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
8,Mon Dec 28 14:44:56 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
9,Mon Dec 28 14:39:27 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
10,Mon Dec 28 14:26:10 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
11,Mon Dec 28 13:51:34 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
12,Mon Dec 28 13:15:06 +0000 2020,"""Jako #Kościół przeżywamy trudny czas leczenia; któremu towarzyszy ogromne poczucie wstydu i bólu. #Prawda i #autentyczność w przeżywaniu tego jest jedyną drogą.""
https://t.co/HInaAkK54e #Polska #katolik #wierzący #ksiądz #zakon #Chrystusowcy #kryzys #pedofilia #świadectwo #wiara"
13,Mon Dec 28 13:00:19 +0000 2020,"#Polska #Kościół #katolicki : #kryzys -""tu w grę wchodzi #wiarygodność nie tylko zwykłych katolików; ale przede wszystkim tych; których traktuje się jako reprezentantów Kościoła Katolickiego; czyli biskupów; księży; zakonników; zakonnic.""
https://t.co/CZgSybjTAv #biskup #katolik"
14,Mon Dec 28 12:50:53 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
15,Mon Dec 28 12:28:51 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
16,Mon Dec 28 12:19:53 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
17,Mon Dec 28 12:18:16 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
18,Mon Dec 28 12:18:04 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
19,Mon Dec 28 12:15:06 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
20,Mon Dec 28 12:07:53 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
21,Mon Dec 28 11:54:52 +0000 2020,✔🇵🇱 #KoalicjaPolska proponuje: dobrowolny ZUS dla polskich przedsiębiorców! To realne wsparcie w walce z kryzysem wywołanym 😷 pandemią #covid19. #gospodarka #sejm #kryzys #biznes https://t.co/hRKziA6F5V
22,Mon Dec 28 11:44:51 +0000 2020,. @Ryszard_Galla: Brakuje planu wyjścia z kryzysu… Jest parę rzeczy; nad którymi już można by pracować i iść do przodu. Brakuje tego… #Sejm #kryzys
23,Mon Dec 28 11:39:27 +0000 2020,. @Ryszard_Galla: Brakuje planu wyjścia z kryzysu… Jest parę rzeczy; nad którymi już można by pracować i iść do przodu. Brakuje tego… #Sejm #kryzys
24,Mon Dec 28 09:29:30 +0000 2020,"#Pandemia; #kryzys gospodarczy i spadek cen surowców powodują; że #Kreml w obawie przed buntem społecznym postanowił przykręcić śrubę.

Przeczytaj więcej ⤵️
https://t.co/dVJAEZzpLs"
25,Mon Dec 28 09:20:00 +0000 2020,"#Pandemia; #kryzys gospodarczy i spadek cen surowców powodują; że #Kreml w obawie przed buntem społecznym postanowił przykręcić śrubę.

Przeczytaj więcej ⤵️
https://t.co/dVJAEZzpLs"
26,Mon Dec 28 07:43:57 +0000 2020,"#Polska: Pracę nad Wisłą w trakcie pandemii (2020-2021) straci ok. 600 tys. osób. To jeden z najgłębszych spadków zatrudnienia w całej UE; a raport KE i tak nie obejmuje jesiennych restrykcji; bo został opublikowany w październiku.
#PiS #bezrobocie #kryzys
https://t.co/co8wwGiz0Q"
27,Mon Dec 28 06:14:09 +0000 2020,Góry kryzysu. Polską turystykę czeka katastrofa https://t.co/b60pjUghSN #kryzys #PiS #SilniRazem #turystyka
28,Mon Dec 28 06:07:17 +0000 2020,Góry kryzysu. Polską turystykę czeka katastrofa https://t.co/b60pjUghSN #kryzys #PiS #SilniRazem #turystyka
29,Mon Dec 28 06:00:55 +0000 2020,Góry kryzysu. Polską turystykę czeka katastrofa https://t.co/b60pjUghSN #kryzys #PiS #SilniRazem #turystyka
30,Mon Dec 28 05:56:58 +0000 2020,"Pożegnanie z #kryzys.em. Najpierw #konsumpcja; potem #inwestycje #gospodarka 

https://t.co/XS4FDKaas2"
31,Mon Dec 28 05:10:24 +0000 2020,"Pożegnanie z #kryzys.em. Najpierw #konsumpcja; potem #inwestycje #gospodarka 

https://t.co/XS4FDKaas2"
32,Mon Dec 28 05:03:36 +0000 2020,"Pożegnanie z #kryzys.em. Najpierw #konsumpcja; potem #inwestycje #gospodarka 

https://t.co/XS4FDKaas2"
33,Sun Dec 27 22:28:23 +0000 2020,"@wojciechnaja O kurwa!!  Tosz to pogrom!
#kryzys
#bidazneda
#givmiebrejk https://t.co/4pLzXlMeMC"
34,Sun Dec 27 20:48:03 +0000 2020,"https://t.co/UikuCWpCf2
🔵 Co nas czeka w przyszłości? EUROPA VS AZJA 🔵
Kryzys gospodarczy w natarciu. Dlaczego warto inwestować w południowo wschodnią Azję? TEORIE SPISKOWE 
#kryzys #reset #inwestycje #finanse #gpw #gospodarka #ekonomia"
35,Sun Dec 27 18:05:27 +0000 2020,"Czy szczepionka pozwoli nam na powrót do normalności?

#szczepimysie #szczepionka #Covid #kryzys #koronawirus

https://t.co/1LweAUdZon"
36,Sun Dec 27 17:58:50 +0000 2020,Statystyki zadają kłam oficjalnej propagandzie. Polska wśród najbiedniejszych krajów Europy https://t.co/13btw3bryI #Bieda #kryzys #upadek
37,Sun Dec 27 16:17:40 +0000 2020,Od jutra [28.12] w życie wchodzą nowe #obostrzenia dla #handel #retail #property wiąże się to z powrotem ograniczeń do 17.01. Rok 2021 nie zacznie się dla wszystkich najlepiej; pogłębiając pogoń za odrobieniem strat z trudnego dla branży 2020r. #kryzys #covid19 #epidemia #shrink
38,Sun Dec 27 16:01:49 +0000 2020,Statystyki zadają kłam oficjalnej propagandzie. Polska wśród najbiedniejszych krajów Europy https://t.co/13btw3bryI #Bieda #kryzys #upadek
39,Sun Dec 27 15:44:46 +0000 2020,Statystyki zadają kłam oficjalnej propagandzie. Polska wśród najbiedniejszych krajów Europy https://t.co/13btw3bryI #Bieda #kryzys #upadek
40,Sun Dec 27 15:34:47 +0000 2020,Statystyki zadają kłam oficjalnej propagandzie. Polska wśród najbiedniejszych krajów Europy https://t.co/13btw3bryI #Bieda #kryzys #upadek
41,Sun Dec 27 15:33:14 +0000 2020,Statystyki zadają kłam oficjalnej propagandzie. Polska wśród najbiedniejszych krajów Europy https://t.co/13btw3bryI #Bieda #kryzys #upadek
42,Sun Dec 27 14:00:13 +0000 2020,"Ostatni zgasi światło?

#gospodarka #kryzys #covid19 

https://t.co/vXzMQGedSo"
43,Sat Dec 26 16:44:39 +0000 2020,"Najważniejsze wydarzenia w historii ludzkości:
1. Wynalezienie koła;
2. Lądowanie na księżycu;
3. Transport szczepionki;
[ironizowanie]
...; a i dla młodych wysłanie Tesli na orbitę. #kryzys #obostrzenia #COVID19  #lockdown #transpor #Tesla #pandemia #epidemia"
44,Thu Dec 24 09:42:23 +0000 2020,"Wywiad dla @LAJankowski @RadioWNET o #Wigilia #BożeNarodzenie #bezdomni #niepełnosprawni #pandemia #COVID19  @szczepionka i Fundacji Brata Alberta @brata_im. Także o #Kościół #kryzys #oczyszczenie #młodzież #Dziwisz @ArchKrakowska @DiecezjaTarnow 
Słuchaj 
https://t.co/x0JmdV4df8 https://t.co/oayQWpnbhS"
45,Thu Dec 24 09:07:28 +0000 2020,"Interwencyjny skup hoteli rozpoczęty ;)
#kryzys #hotel #gospodarka #lockdown

https://t.co/N4imefz74d"
46,Thu Dec 24 08:01:00 +0000 2020,To się nazywa propaganda! TVP PiS informuje; że straty wywołane epidemią odrobimy w rok! https://t.co/1Hoe4OpNtw #kryzys #PiS #propaganda #SilniRazem
47,Thu Dec 24 07:09:50 +0000 2020,To się nazywa propaganda! TVP PiS informuje; że straty wywołane epidemią odrobimy w rok! https://t.co/1Hoe4OpNtw #kryzys #PiS #propaganda #SilniRazem
48,Thu Dec 24 07:06:58 +0000 2020,To się nazywa propaganda! TVP PiS informuje; że straty wywołane epidemią odrobimy w rok! https://t.co/1Hoe4OpNtw #kryzys #PiS #propaganda #SilniRazem
49,Thu Dec 24 07:00:44 +0000 2020,To się nazywa propaganda! TVP PiS informuje; że straty wywołane epidemią odrobimy w rok! https://t.co/1Hoe4OpNtw #kryzys #PiS #propaganda #SilniRazem
50,Wed Dec 23 15:58:28 +0000 2020,"Czeka nas #gospodarcze TSUNAMI? Ogromny #kryzys! Dobromir #Sośnierz @wrealu24_pl! @krz_luksza 

LINK DO PROGRAMU: https://t.co/aQGvk5eaXI

Zapraszamy również na naszą stronę https://t.co/ckP6xA1HA7; na której nadajemy na żywo https://t.co/ZaSVtdnvdr"
51,Wed Dec 23 15:33:07 +0000 2020,Oficjalne dane GUS przerażają. Polacy wymierają https://t.co/NaEdnch17X #AferyPiS #gospodarka #kryzys
52,Wed Dec 23 15:22:33 +0000 2020,Oficjalne dane GUS przerażają. Polacy wymierają https://t.co/NaEdnch17X #AferyPiS #gospodarka #kryzys
53,Wed Dec 23 15:06:06 +0000 2020,https://t.co/QLSI1aoCv2 zadluzania gojow ciag dalszy. #koscinski #kaczynski  #kredyt #kryzys #wtylewizji #pis #dlug
54,Wed Dec 23 15:05:14 +0000 2020,"Mimo deklaracji i trwającego kryzysu; rząd wprowadza kolejne podatki dla przedsiębiorców i konsumentów.
Nie godzimy się na to.
Stop nowym podatkom❗

#podatekcukrowy #podatki #napoje #sugartax #kryzys #pandemia https://t.co/7hoyB9jYBX"
