,date,text
0,Wed Dec 30 11:23:39 +0000 2020,"Nieważne ile razy bym nie wracał do oryginalnego Mirror's Edge to wiem; że czeka na mnie naprawdę wspaniała przygoda 💙. Tym razem będzie też troszkę inaczej ponieważ pierwszy raz gram z włączonym #nVidia #PhysX 😮.

#PC #MirrorsEdge #StayTheFuckHome #zostanwdomu https://t.co/Y69pg2RNju"
1,Wed Dec 30 11:23:39 +0000 2020,"Nieważne ile razy bym nie wracał do oryginalnego Mirror's Edge to wiem; że czeka na mnie naprawdę wspaniała przygoda 💙. Tym razem będzie też troszkę inaczej ponieważ pierwszy raz gram z włączonym #nVidia #PhysX 😮.

#PC #MirrorsEdge #StayTheFuckHome #zostanwdomu https://t.co/Y69pg2RNju"
2,Wed Dec 30 08:35:06 +0000 2020,"Dzisiaj w redakcyjnym menu test wydajności kart graficznych AMD Radeon RX 6000 i NVIDIA GeForce RTX 3000 na monitorach ACER w nietypowych rozdzielczościach 3440x1440; 3840x1200 i 3840x1600. #Test #Technologia #Komputery #AMD #NVIDIA #ACER 

https://t.co/30veYWnosH https://t.co/stZCGxj5TO"
3,Wed Dec 30 08:13:56 +0000 2020,"#Nvidia szykuje mocne uderzenie na rynku laptopów do gier

https://t.co/61FVUupaPQ"
4,Tue Dec 29 20:33:03 +0000 2020,"Cuda tylko w Święta #NVIDIA #rtx3080 

https://t.co/UP5Q87vWuK"
5,Tue Dec 29 16:23:23 +0000 2020,"#RTXOn #nvidia 3080 dostepne od ręki!

https://t.co/m3xr9U7z7y"
6,Tue Dec 29 15:44:49 +0000 2020,"Chcecie grać w najnowsze gry bez płacenia grubej kasy za wydajnego peceta? W takim razie sprawdźcie koniecznie usługę GeForce NOW od Nvidii. #geforcenow #nvidia
https://t.co/0IlMAOakuC"
7,Tue Dec 29 15:05:26 +0000 2020,"#Nvidia nie odpuszcza i podobno już pracuje nad kolejną generacją kart graficznych

https://t.co/T91n2bm8LE"
8,Tue Dec 29 11:03:49 +0000 2020,"Szkoła filmowania - ABC Filmowania - do pracy przy montowaniu filmów i obróbce zdjęć korzysta z komputerów #Lenovo.

Na krótkim filmie możecie zobaczyć mobilną; bardzo wydajną stację roboczą ThinkPad P53 (z procesorem #Intel Core i9 i kartą #Nvidia Quadro) https://t.co/RvQSOA4iss"
9,Tue Dec 29 09:56:48 +0000 2020,"Nvidia szykuje bardzo mocne uderzenie
#Nvidia
https://t.co/XpFsUJdjsz"
10,Mon Dec 28 19:15:08 +0000 2020,"Poznaliśmy pierwsze; szczegółowe informacje o specyfikacji architektury NVIDIA Lovelace; wykonanej w 5-nanometrowym wymiarze technologicznym. #NVIDIA #GeForce #Lovelace #Technologia #Komputery 

https://t.co/h1eBdj4RFI https://t.co/qfo7K5umtT"
11,Mon Dec 28 11:33:36 +0000 2020,"Szkoła filmowania - ABC Filmowania - do pracy przy montowaniu filmów i obróbce zdjęć korzysta z komputerów #Lenovo.

Na krótkim filmie możecie zobaczyć mobilną; bardzo wydajną stację roboczą ThinkPad P53 (z procesorem #Intel Core i9 i kartą #Nvidia Quadro) https://t.co/RvQSOA4iss"
12,Sat Dec 26 21:13:12 +0000 2020,Tomb Raider (2013) | GTX 1660 Super + Ryzen 5 3600 | 1080p All Settings https://t.co/QkQuhUSCJb via #gaming #TombRaider #gtx1660super #ryzen5 #1660super #ryzen #gtx1660s #NVIDIA #NVIDIAGeForce
13,Sat Dec 26 15:38:37 +0000 2020,"Ciekawy RTX do testów mi przyjechał. Karta; którą możemy sterować za pomocą smartfonu. Również podkręcać zdalnie. A przy okazji jej testu sprawdzimy
#KFA2 #Nvidia #RTX3070 #test #oc #podkręcanie #RT #DLSS20 #technologia #vbt #videoblogtech #kartagraficzna
https://t.co/NCtWKioOZN https://t.co/ej6LFp2MTc"
14,Fri Dec 25 21:20:21 +0000 2020,"GeForce RTX 3080 Ti z 20 GB VRAM może być godnym konkurentem dla Radeona RX 6900 XT. Jego premiera może odbyć się już w lutym. #NVIDIA #GeForce #RTX3080Ti #Technologia #Komputery 

https://t.co/SmNWAWSLcn https://t.co/YJjXyBvHRa"
15,Fri Dec 25 19:05:13 +0000 2020,"GeForce RTX 3080 Ti z 20 GB VRAM może być godnym konkurentem dla Radeona RX 6900 XT. Jego premiera może odbyć się już w lutym. #NVIDIA #GeForce #RTX3080Ti #Technologia #Komputery 

https://t.co/SmNWAWSLcn https://t.co/YJjXyBvHRa"
16,Thu Dec 24 17:14:50 +0000 2020,"PNY NVIDIA Quadro P4000 8GB GDDR5
https://t.co/ZJhtaLoKbo
#pny #nvidia #quadro #gddr5 #graphics #bluelynx #online #ecommerce #qatar #doha #electronics #bluelynxonline #shopping https://t.co/4ukiBM3Ent"
17,Wed Dec 23 13:55:38 +0000 2020,"MSI Creator P100X to najnowszy komputer tajwańskiego producenta; przygotowany z myślą o twórcach treści np. foto lub wideo. A my dzisiaj sprawdzimy jak sprawdza się w praktyce. #Test #MSI #CreatorP100X #Komputery #Technologia #Intel #NVIDIA 

https://t.co/yZxuuwa4P9 https://t.co/slALrT3YQ2"
18,Wed Dec 23 08:10:05 +0000 2020,"Na stronie Acera pojawiła się konfiguracja nowej wersji Nitro 5. Sprzęt ma zostać wyposażony w procesor AMD Ryzen oraz kartę NVIDIA GeForce RTX 3080. #Acer #Technologia #Komputery #AMD #NVIDIA 

https://t.co/OULG1tNSey https://t.co/XLRaFvVGn0"
19,Tue Dec 22 18:17:05 +0000 2020,@MacGadka @CyberpunkGame @ApplePodcasts @Lifter_com_pl @mmmaslov To jeszcze bardziej patriotycznie było można kupić na @GOGcom i uruchomić na Geforce Now #NVIDIA
20,Tue Dec 22 18:07:39 +0000 2020,"Lovelace ma być kolejną generacją układów firmy Nvidia. Według pogłosek nowa architektura ma być tworzona w 5-nanometrowy procesie technologicznym. #NVIDIA #Komputery #Technologia 

https://t.co/YdWdwrf6YJ https://t.co/3bA8P1J3tW"
21,Tue Dec 22 14:27:58 +0000 2020,@msigaming @MSINotebookUK @msigaming_de Ge65 9SF-006 Raider.  240 Hz 15;6“ FHD. Intel Core i7-9750H Processor; nvidia GeForce RTX 2070/8gb gddr6; RAM: DDR4 16GB (8gb*2); 1TB SSD #msi #notebookbeast #msinotebook #monster #gaming #GamingSetup #nvidia #NVIDIAGeForce #ungeklickt https://t.co/mTRdlj39x9
22,Tue Dec 22 14:27:58 +0000 2020,@msigaming @MSINotebookUK @msigaming_de Ge65 9SF-006 Raider.  240 Hz 15;6“ FHD. Intel Core i7-9750H Processor; nvidia GeForce RTX 2070/8gb gddr6; RAM: DDR4 16GB (8gb*2); 1TB SSD #msi #notebookbeast #msinotebook #monster #gaming #GamingSetup #nvidia #NVIDIAGeForce #ungeklickt https://t.co/mTRdlj39x9
23,Wed Dec 30 08:35:06 +0000 2020,"Dzisiaj w redakcyjnym menu test wydajności kart graficznych AMD Radeon RX 6000 i NVIDIA GeForce RTX 3000 na monitorach ACER w nietypowych rozdzielczościach 3440x1440; 3840x1200 i 3840x1600. #Test #Technologia #Komputery #AMD #NVIDIA #ACER 

https://t.co/30veYWnosH https://t.co/stZCGxj5TO"
