,date,text
0,Wed Jan 06 14:11:51 +0000 2021,"Paweł Szrot; szef Gabinetu Prezydenta RP: Pan Prezydent czeka na swoją kolej  w #szczepienia. Jest ozdrowieńcem i stosunkowo młodym człowiekiem; który przeszedł chorobę z niewielkimi objawami. Cały czas zachęca Polaków do szczepień.
#szczepionka #COVID19"
1,Wed Jan 06 14:11:51 +0000 2021,"Paweł Szrot; szef Gabinetu Prezydenta RP: Pan Prezydent czeka na swoją kolej  w #szczepienia. Jest ozdrowieńcem i stosunkowo młodym człowiekiem; który przeszedł chorobę z niewielkimi objawami. Cały czas zachęca Polaków do szczepień.
#szczepionka #COVID19"
2,Wed Jan 06 14:11:48 +0000 2021,Ilość osób zaszczepionych w Polsce wynosi 136 tysięcy. #szczepionka #COVID19
3,Wed Jan 06 14:10:33 +0000 2021,"Mamy ulotkę informacyjną szczepionki na #COVID19 
Niestety potwierdziły się informacje; że nie gwarantuje ona żadnego okresu odporności.
Brak badań interakcji z innymi lekami.
Wystąpiły ostre porażenia nerwu twarzy u niektórych przyjmujących
@a_niedzielski czytał? https://t.co/bLqPnYAylx"
4,Wed Jan 06 14:10:03 +0000 2021,"Nastawiam wodę na gaz. Przekręcam kurek;cyk. Jest. Siadam półtora metra od kuchenki i czytam internety.
Minuta;pięć;siedem. Woda się nie gotuje. Wstaję - nie ma ognia. Gaz się ulatnia. Syczy.Nic nie czuję; nawet stojąc obok.
Okno na full.
63 dni po ost. dniu izolacji 🤪
#COVID19"
5,Wed Jan 06 14:09:57 +0000 2021,.@JkmMikke na komisji zdrowia ws. szczepień na #COVID19 nie miał litości dla rządzących i opozycji totalnej. Bez poprawności politycznej; fakty i cała bolesna prawda powiedziana ministrom Niedzielskiemu i Dworczykowi prosto w oczy! 1/3 https://t.co/kZqTu95Avc
6,Wed Jan 06 14:09:26 +0000 2021,"Unia Europejska ogłosiła w ostatnim czasie 24 mln euro dodatkowej pomocy finansowej mającej pomóc Armenii uporać się z pandemią #koronawirus . #Armenia #EuropeanUnion #COVID19 🇦🇲

https://t.co/KBEfcyfeiu"
7,Wed Jan 06 14:09:18 +0000 2021,W dniu dzisiejszym zwróciłem się do Dyrektora Wielkopolskiego Oddziału NFZ o przeprowadzenie kontroli w Ostrzeszowskim Centrum Zdrowia w zakresie dotyczącym szczepień przeciwko #COVID19. Z informacji; jakie do mnie dotarły w grupie „0” mogły znaleźć się osoby nieuprawnione.
8,Wed Jan 06 14:07:36 +0000 2021,"#Izrael liderem w szczepieniach na koronawirusa. Ich recepta na sukces

#Szczepienia #COVID19 #koronawirus 

https://t.co/4P7ocpNwlU"
9,Wed Jan 06 14:06:50 +0000 2021,Jeszcze parę miesięcy temu @MZ_GOV_PL  twierdziło że maseczki są niepotrzebne; a minister naśmiewał się z tych co je noszą ; bo nie pomagają one w żadnym stopniu na #COVID19 https://t.co/SdX23ju8mT
10,Wed Jan 06 14:06:00 +0000 2021,#RwoT #Youth; Mureke dukaze ingamba zo kwirinda #COVID19 @pamrwanda @RwandaYouth @YouthCultureRW https://t.co/McYBRWP6fw
11,Wed Jan 06 14:03:14 +0000 2021,"Mamy ulotkę informacyjną szczepionki na #COVID19 
Niestety potwierdziły się informacje; że nie gwarantuje ona żadnego okresu odporności.
Brak badań interakcji z innymi lekami.
Wystąpiły ostre porażenia nerwu twarzy u niektórych przyjmujących
@a_niedzielski czytał? https://t.co/bLqPnYAylx"
12,Wed Jan 06 14:00:01 +0000 2021,"Dzisiejsze dane:
14 151 nowych zachorowań #COVID19 
i aż 553 zgonów. 
Dużo. 
Nasze zadania:
#szczepimysie 
#maseczki 
#dystans 
#dezynfekcja"
13,Wed Jan 06 13:59:36 +0000 2021,"Jest to dzisiaj chyba najlepszy #news!
Europejska Agencja Leków #EMA dopuściła do obrotu w Europie szczepionkę firmy #Moderna ✅
UE ma zarezerwowanych wstępnie 160mln dawek. Te szczepionki mają łatwiejsza procedurę przechowywania!
Pełnia bezpieczeństwa!👏
#szczepimysie #COVID19 https://t.co/5rvWu8eKNM"
14,Wed Jan 06 13:58:50 +0000 2021,🟥 Ta tragiczna statystyka pokazuje; że propaganda sukcesu i dezinformacja władzy nie pomogą. #COVID19 #zgony2020 https://t.co/ju8W46I03J
15,Wed Jan 06 13:57:46 +0000 2021,@tvp_info Miliony zaszczepionych na świecie przeciw #COVID19. Polska w ogonie UE w ilości szczepień na 100 tys. mieszkańców i w czołówce pod względem zapasów.
16,Wed Jan 06 13:57:06 +0000 2021,"Jest to dzisiaj chyba najlepszy #news!
Europejska Agencja Leków #EMA dopuściła do obrotu w Europie szczepionkę firmy #Moderna ✅
UE ma zarezerwowanych wstępnie 160mln dawek. Te szczepionki mają łatwiejsza procedurę przechowywania!
Pełnia bezpieczeństwa!👏
#szczepimysie #COVID19 https://t.co/5rvWu8eKNM"
