,date,text
0,Wed Jan 13 13:34:55 +0000 2021,"#IgaŚwiątek z Wielkim Szlemem 🏆
Zawodniczka została pierwszą Polką; która wygrała turniej Wielkiego Szlema! #Niepodległa gratuluje wygranej; dzięki której Iga Świątek dołączyła do największych sław polskiego tenisa żeńskiego; takich jak Jadwiga Jędrzejowska!
Fot:@NAC_GOV_PL https://t.co/p9U7ckz0FP"
1,Wed Jan 13 13:34:55 +0000 2021,"#IgaŚwiątek z Wielkim Szlemem 🏆
Zawodniczka została pierwszą Polką; która wygrała turniej Wielkiego Szlema! #Niepodległa gratuluje wygranej; dzięki której Iga Świątek dołączyła do największych sław polskiego tenisa żeńskiego; takich jak Jadwiga Jędrzejowska!
Fot:@NAC_GOV_PL https://t.co/p9U7ckz0FP"
2,Tue Jan 12 16:30:16 +0000 2021,#Plebiscyt na najlepszego sportowca roku znów z kontrowersjami https://t.co/VkCbsKn2bg I #BartoszZmarzlik #IgaŚwiątek #JanBłachowicz #Lewandowski #PlebiscytNaNajlepszegoSportowcaRoku #PlebiscytPrzegląduSportowego #RobertLewandowski #Sportowiec #SportowiecRoku #Świątek https://t.co/U5JEWLvt5S
3,Mon Jan 11 16:52:19 +0000 2021,Wielkie gratulacje dla @iga_swiatek za zajęcie II miejsca w plebiscycie „przeglądu sportowego” na Sportowca Roku! Piękne wyróżnienie i motywacja dla młodych adeptów tenisa! Gratulacje od całego LTS🎾‼️💥#igaswiatek #tennis #legiawarszawa #legia #LTS #legiatenis https://t.co/KIvQducXDw
4,Mon Jan 11 16:50:18 +0000 2021,Wielkie gratulacje dla @iga_swiatek za zajęcie II miejsca w plebiscycie „przeglądu sportowego” na Sportowca Roku! Piękne wyróżnienie i motywacja dla młodych adeptów tenisa! Gratulacje od całego LTS🎾‼️💥#igaswiatek #tennis #legiawarszawa #legia #LTS #legiatenis https://t.co/KIvQducXDw
5,Mon Jan 11 16:27:19 +0000 2021,Wielkie gratulacje dla @iga_swiatek za zajęcie II miejsca w plebiscycie „przeglądu sportowego” na Sportowca Roku! Piękne wyróżnienie i motywacja dla młodych adeptów tenisa! Gratulacje od całego LTS🎾‼️💥#igaswiatek #tennis #legiawarszawa #legia #LTS #legiatenis https://t.co/KIvQducXDw
6,Sat Jan 09 22:38:58 +0000 2021,"Idze kibicuje od czasu jak była w juniorach. I od tamtego czasu twierdziłem że będzie wielka ale w tym roku nagroda zdecydowanie należała się Lewemu.
#sportowiec2020 #SportowiecRoku2020 #SportowiecRoku 
#IgaŚwiatek 
https://t.co/Nin8imSAej"
7,Sat Jan 09 21:56:02 +0000 2021,"Życzę Idze; by wyszła za mąż za Piątka ;) 

#SportowiecRoku #sportowiec2020 #RobertLewandowski #IgaŚwiątek #sport https://t.co/sNuXXH7mp4"
8,Sat Jan 09 21:38:09 +0000 2021,#RobertLewandowski został wybrany #SportowiecRoku 2020 podczas #GalaMistrzówSportu; czyli 86. Plebiscytu @przeglad. Drugie miejsce zajęła #IgaŚwiątek. Oboje zasłużyli na swoje pozycje ciężką pracą. Szkoda; że ranking zepsuła pandemia; zerowanie głosów i wybiórcza pamięć kibiców.
9,Sat Jan 09 21:34:12 +0000 2021,Czekałem aż #igaswiatek walnie Lewandowskiego statuetką; niestety...
10,Sat Jan 09 21:28:36 +0000 2021,"Brawo #IgaŚwiątek - wybitne osiągnięcie ten #RolandGarros
Brawo Czytelnicy #PS! za wybór!
#RobertLewandowski - absolutnie zasłużenie Numer JEDEN
#SportowiecRoku #sportowiec2020 
sprawiedliwość wróciła do Kraju nad Wisłą😉"
11,Sat Jan 09 20:43:47 +0000 2021,#IgaŚwiątek musi wygrać! Jestem całym sercem z nią❤️ #sportowiecroku
12,Thu Jan 07 13:00:58 +0000 2021,"#IgaŚwiątek 🇵🇱 #IgaŚwiatek jest najlepsza ⬇️
https://t.co/HExZh7Tsk7"
13,Thu Jan 07 13:00:58 +0000 2021,"#IgaŚwiątek 🇵🇱 #IgaŚwiatek jest najlepsza ⬇️
https://t.co/HExZh7Tsk7"
14,Tue Jan 12 16:30:16 +0000 2021,#Plebiscyt na najlepszego sportowca roku znów z kontrowersjami https://t.co/VkCbsKn2bg I #BartoszZmarzlik #IgaŚwiątek #JanBłachowicz #Lewandowski #PlebiscytNaNajlepszegoSportowcaRoku #PlebiscytPrzegląduSportowego #RobertLewandowski #Sportowiec #SportowiecRoku #Świątek https://t.co/U5JEWLvt5S
15,Thu Jan 07 13:00:58 +0000 2021,"#IgaŚwiątek 🇵🇱 #IgaŚwiatek jest najlepsza ⬇️
https://t.co/HExZh7Tsk7"
16,Mon Jan 11 16:52:19 +0000 2021,Wielkie gratulacje dla @iga_swiatek za zajęcie II miejsca w plebiscycie „przeglądu sportowego” na Sportowca Roku! Piękne wyróżnienie i motywacja dla młodych adeptów tenisa! Gratulacje od całego LTS🎾‼️💥#igaswiatek #tennis #legiawarszawa #legia #LTS #legiatenis https://t.co/KIvQducXDw
17,Thu Jan 07 13:00:58 +0000 2021,"#IgaŚwiątek 🇵🇱 #IgaŚwiatek jest najlepsza ⬇️
https://t.co/HExZh7Tsk7"
18,Mon Jan 11 16:50:18 +0000 2021,Wielkie gratulacje dla @iga_swiatek za zajęcie II miejsca w plebiscycie „przeglądu sportowego” na Sportowca Roku! Piękne wyróżnienie i motywacja dla młodych adeptów tenisa! Gratulacje od całego LTS🎾‼️💥#igaswiatek #tennis #legiawarszawa #legia #LTS #legiatenis https://t.co/KIvQducXDw
19,Thu Jan 07 13:00:58 +0000 2021,"#IgaŚwiątek 🇵🇱 #IgaŚwiatek jest najlepsza ⬇️
https://t.co/HExZh7Tsk7"
20,Mon Jan 11 16:27:19 +0000 2021,Wielkie gratulacje dla @iga_swiatek za zajęcie II miejsca w plebiscycie „przeglądu sportowego” na Sportowca Roku! Piękne wyróżnienie i motywacja dla młodych adeptów tenisa! Gratulacje od całego LTS🎾‼️💥#igaswiatek #tennis #legiawarszawa #legia #LTS #legiatenis https://t.co/KIvQducXDw
21,Thu Jan 07 13:00:58 +0000 2021,"#IgaŚwiątek 🇵🇱 #IgaŚwiatek jest najlepsza ⬇️
https://t.co/HExZh7Tsk7"
22,Sat Jan 09 22:38:58 +0000 2021,"Idze kibicuje od czasu jak była w juniorach. I od tamtego czasu twierdziłem że będzie wielka ale w tym roku nagroda zdecydowanie należała się Lewemu.
#sportowiec2020 #SportowiecRoku2020 #SportowiecRoku 
#IgaŚwiatek 
https://t.co/Nin8imSAej"
23,Thu Jan 07 13:00:58 +0000 2021,"#IgaŚwiątek 🇵🇱 #IgaŚwiatek jest najlepsza ⬇️
https://t.co/HExZh7Tsk7"
24,Sat Jan 09 21:56:02 +0000 2021,"Życzę Idze; by wyszła za mąż za Piątka ;) 

#SportowiecRoku #sportowiec2020 #RobertLewandowski #IgaŚwiątek #sport https://t.co/sNuXXH7mp4"
25,Thu Jan 07 13:00:58 +0000 2021,"#IgaŚwiątek 🇵🇱 #IgaŚwiatek jest najlepsza ⬇️
https://t.co/HExZh7Tsk7"
26,Sat Jan 09 21:38:09 +0000 2021,#RobertLewandowski został wybrany #SportowiecRoku 2020 podczas #GalaMistrzówSportu; czyli 86. Plebiscytu @przeglad. Drugie miejsce zajęła #IgaŚwiątek. Oboje zasłużyli na swoje pozycje ciężką pracą. Szkoda; że ranking zepsuła pandemia; zerowanie głosów i wybiórcza pamięć kibiców.
27,Thu Jan 07 13:00:58 +0000 2021,"#IgaŚwiątek 🇵🇱 #IgaŚwiatek jest najlepsza ⬇️
https://t.co/HExZh7Tsk7"
28,Sat Jan 09 21:34:12 +0000 2021,Czekałem aż #igaswiatek walnie Lewandowskiego statuetką; niestety...
29,Thu Jan 07 13:00:58 +0000 2021,"#IgaŚwiątek 🇵🇱 #IgaŚwiatek jest najlepsza ⬇️
https://t.co/HExZh7Tsk7"
30,Sat Jan 09 21:28:36 +0000 2021,"Brawo #IgaŚwiątek - wybitne osiągnięcie ten #RolandGarros
Brawo Czytelnicy #PS! za wybór!
#RobertLewandowski - absolutnie zasłużenie Numer JEDEN
#SportowiecRoku #sportowiec2020 
sprawiedliwość wróciła do Kraju nad Wisłą😉"
31,Thu Jan 07 13:00:58 +0000 2021,"#IgaŚwiątek 🇵🇱 #IgaŚwiatek jest najlepsza ⬇️
https://t.co/HExZh7Tsk7"
