,date,text
0,Wed Jan 06 13:59:00 +0000 2021,"#IKEA jak zawsze na dużym propsie. 

https://t.co/UzrVRbnbap"
1,Wed Jan 06 13:59:00 +0000 2021,"#IKEA jak zawsze na dużym propsie. 

https://t.co/UzrVRbnbap"
2,Wed Jan 06 09:59:30 +0000 2021,"Widzieliście takie atrapy w polskich sklepach? #nextgen #ps5 #xsx #ikea
https://t.co/ibwECBXKYK"
3,Tue Jan 05 16:55:37 +0000 2021,"IKEA jak zwykle nie zawodzi. #IKEA #Sony #Microsoft #XboxSeriesX #PlayStation5 #Konsole 

https://t.co/U9IHbD0g4Q https://t.co/drDHXFhMDj"
4,Tue Jan 05 16:55:33 +0000 2021,"IKEA jak zwykle nie zawodzi. #IKEA #Sony #Microsoft #XboxSeriesX #PlayStation5 #Konsole 

https://t.co/U9IHbD0g4Q https://t.co/drDHXFhMDj"
5,Tue Jan 05 14:26:57 +0000 2021,Tylko #IKEA tak umie. #reklama #advertising https://t.co/5pAoWieJTq
6,Sun Jan 03 19:45:58 +0000 2021,"Jadłem Wege Klopsy z Ikei 
Polecam smakują jak normalne mięsne . Kocham 
. 
. 
.
#IKEA #klopsy #wege #vegeterian"
7,Sat Jan 02 12:59:10 +0000 2021,"hejj czy ma tutaj ktos to łóżko i chciałby mi troche pomoc? naprawde mi na tym zależy;; jest to łóżko MALM z ikei numerek 191.759.76
prosze o rt🥺 #wywiadzkpoperami #tweetme #ikea #mojchlopak https://t.co/Z4ZMqbMt4h"
8,Wed Dec 30 09:49:38 +0000 2020,"Uwaga przed oszustami podszywającymi się pod markę IKEA

https://t.co/Hr4AxAG87j

#IKEA #smspremium #oszustwo #sms #email #wyludzeniedanych #scam https://t.co/KdNlYIyV5U"
9,Wed Dec 30 09:49:38 +0000 2020,"Uwaga przed oszustami podszywającymi się pod markę IKEA

https://t.co/Hr4AxAG87j

#IKEA #smspremium #oszustwo #sms #email #wyludzeniedanych #scam https://t.co/KdNlYIyV5U"
10,Wed Jan 06 09:59:30 +0000 2021,"Widzieliście takie atrapy w polskich sklepach? #nextgen #ps5 #xsx #ikea
https://t.co/ibwECBXKYK"
11,Wed Dec 30 09:49:38 +0000 2020,"Uwaga przed oszustami podszywającymi się pod markę IKEA

https://t.co/Hr4AxAG87j

#IKEA #smspremium #oszustwo #sms #email #wyludzeniedanych #scam https://t.co/KdNlYIyV5U"
12,Tue Jan 05 16:55:37 +0000 2021,"IKEA jak zwykle nie zawodzi. #IKEA #Sony #Microsoft #XboxSeriesX #PlayStation5 #Konsole 

https://t.co/U9IHbD0g4Q https://t.co/drDHXFhMDj"
13,Wed Dec 30 09:49:38 +0000 2020,"Uwaga przed oszustami podszywającymi się pod markę IKEA

https://t.co/Hr4AxAG87j

#IKEA #smspremium #oszustwo #sms #email #wyludzeniedanych #scam https://t.co/KdNlYIyV5U"
14,Tue Jan 05 16:55:33 +0000 2021,"IKEA jak zwykle nie zawodzi. #IKEA #Sony #Microsoft #XboxSeriesX #PlayStation5 #Konsole 

https://t.co/U9IHbD0g4Q https://t.co/drDHXFhMDj"
15,Wed Dec 30 09:49:38 +0000 2020,"Uwaga przed oszustami podszywającymi się pod markę IKEA

https://t.co/Hr4AxAG87j

#IKEA #smspremium #oszustwo #sms #email #wyludzeniedanych #scam https://t.co/KdNlYIyV5U"
16,Tue Jan 05 14:26:57 +0000 2021,Tylko #IKEA tak umie. #reklama #advertising https://t.co/5pAoWieJTq
17,Wed Dec 30 09:49:38 +0000 2020,"Uwaga przed oszustami podszywającymi się pod markę IKEA

https://t.co/Hr4AxAG87j

#IKEA #smspremium #oszustwo #sms #email #wyludzeniedanych #scam https://t.co/KdNlYIyV5U"
18,Sun Jan 03 19:45:58 +0000 2021,"Jadłem Wege Klopsy z Ikei 
Polecam smakują jak normalne mięsne . Kocham 
. 
. 
.
#IKEA #klopsy #wege #vegeterian"
19,Wed Dec 30 09:49:38 +0000 2020,"Uwaga przed oszustami podszywającymi się pod markę IKEA

https://t.co/Hr4AxAG87j

#IKEA #smspremium #oszustwo #sms #email #wyludzeniedanych #scam https://t.co/KdNlYIyV5U"
20,Sat Jan 02 12:59:10 +0000 2021,"hejj czy ma tutaj ktos to łóżko i chciałby mi troche pomoc? naprawde mi na tym zależy;; jest to łóżko MALM z ikei numerek 191.759.76
prosze o rt🥺 #wywiadzkpoperami #tweetme #ikea #mojchlopak https://t.co/Z4ZMqbMt4h"
21,Wed Dec 30 09:49:38 +0000 2020,"Uwaga przed oszustami podszywającymi się pod markę IKEA

https://t.co/Hr4AxAG87j

#IKEA #smspremium #oszustwo #sms #email #wyludzeniedanych #scam https://t.co/KdNlYIyV5U"
22,Wed Dec 30 09:49:38 +0000 2020,"Uwaga przed oszustami podszywającymi się pod markę IKEA

https://t.co/Hr4AxAG87j

#IKEA #smspremium #oszustwo #sms #email #wyludzeniedanych #scam https://t.co/KdNlYIyV5U"
23,Wed Dec 30 09:49:38 +0000 2020,"Uwaga przed oszustami podszywającymi się pod markę IKEA

https://t.co/Hr4AxAG87j

#IKEA #smspremium #oszustwo #sms #email #wyludzeniedanych #scam https://t.co/KdNlYIyV5U"
