,date,text
0,Wed Jan 06 02:26:06 +0000 2021,!!! *** WSTRZĄSAJĄCA LISTA AFER PIS AKTUALIZACJA 4.01.2021 *** !!! https://t.co/zEGZJY75xF #AferyPiS #StrajkKobiet #SilniRazem #Jedziemy #JedziemyDalej #WieszWiecej #PISOff #Kwarantanna #Kaczyński #Morawiecki #Niedzielski #KPRM #pandemia
1,Wed Jan 06 02:26:06 +0000 2021,!!! *** WSTRZĄSAJĄCA LISTA AFER PIS AKTUALIZACJA 4.01.2021 *** !!! https://t.co/zEGZJY75xF #AferyPiS #StrajkKobiet #SilniRazem #Jedziemy #JedziemyDalej #WieszWiecej #PISOff #Kwarantanna #Kaczyński #Morawiecki #Niedzielski #KPRM #pandemia
2,Tue Jan 05 20:13:49 +0000 2021,!!! *** WSTRZĄSAJĄCA LISTA AFER PIS AKTUALIZACJA 4.01.2021 *** !!! https://t.co/zEGZJY75xF #AferyPiS #StrajkKobiet #SilniRazem #Jedziemy #JedziemyDalej #WieszWiecej #PISOff #Kwarantanna #Kaczyński #Morawiecki #Niedzielski #KPRM #pandemia
3,Tue Jan 05 17:27:20 +0000 2021,"Niedawno ktoś wpadł na pomysł; jak dobrze wykorzystać czas kwarantanny...
zacznij czytać Biblię!
A tu masz CHALLENGE; więc pobierz plik i do dzieła 😎✌️
#CzytamBiblię @Megakosciol #IPPTV #kwarantanna #COVID19 #koronawirus @PawelChojecki 
@olgagazda RT!
https://t.co/RKWSg305zl"
4,Tue Jan 05 17:11:00 +0000 2021,"Przebywała na kwarantannie. Polka zamierzała odlecieć do Egiptu
#kwarantanna #koronawirus
https://t.co/XFDDZUnPCb"
5,Tue Jan 05 16:56:35 +0000 2021,"Słowo roku w Polsce wg kapituły #UW:

1⃣ #koronawirus
2⃣ #kobiety
3⃣ #pandemia

Pozostałe nominowane słowa to: #kwarantanna; #lgbt; #lockdown; #medyk; #miękiszon; #szczepionka; #zdalny https://t.co/KGJkUdljIw"
6,Tue Jan 05 14:33:06 +0000 2021,Na moim osiedlu jakiś nastolatek opieprzał właśnie przez balkon 3 emerytki; które zasiadły sobie na ławce pod blokiem żeby poplotkować. Poczułam się jakbym żyła w alternatywnej rzeczywistości 😳 #kwarantanna #zostańkurwawdomu
7,Tue Jan 05 13:41:30 +0000 2021,"Słowo roku w Polsce wg kapituły #UW:

1⃣ #koronawirus
2⃣ #kobiety
3⃣ #pandemia

Pozostałe nominowane słowa to: #kwarantanna; #lgbt; #lockdown; #medyk; #miękiszon; #szczepionka; #zdalny https://t.co/KGJkUdljIw"
8,Tue Jan 05 11:59:36 +0000 2021,!!! *** WSTRZĄSAJĄCA LISTA AFER PIS AKTUALIZACJA 4.01.2021 *** !!! https://t.co/zEGZJY75xF #AferyPiS #StrajkKobiet #SilniRazem #Jedziemy #JedziemyDalej #WieszWiecej #PISOff #Kwarantanna #Kaczyński #Morawiecki #Niedzielski #KPRM #pandemia
9,Tue Jan 05 11:06:04 +0000 2021,"Słowo roku #UW wg głosowania internautów:

1⃣ #koronawirus 
2⃣ #kobieta 
3⃣ #apostazja 

Pozostałe słowa to: #lockdown; #covid19; #pandemia; #aborcja; #strajk; #kwarantanna; #zdalny; #protest; #lgbt; #maseczka; #ozdrowieniec; #ścieki; #epidemia; #puma
i inne https://t.co/6UbdhU6MQj"
10,Tue Jan 05 11:05:59 +0000 2021,"Słowo roku w Polsce wg kapituły #UW:

1⃣ #koronawirus
2⃣ #kobiety
3⃣ #pandemia

Pozostałe nominowane słowa to: #kwarantanna; #lgbt; #lockdown; #medyk; #miękiszon; #szczepionka; #zdalny https://t.co/KGJkUdljIw"
11,Tue Jan 05 10:52:13 +0000 2021,"Słowo roku #UW wg głosowania internautów:

1⃣ #koronawirus 
2⃣ #kobieta 
3⃣ #apostazja 

Pozostałe słowa to: #lockdown; #covid19; #pandemia; #aborcja; #strajk; #kwarantanna; #zdalny; #protest; #lgbt; #maseczka; #ozdrowieniec; #ścieki; #epidemia; #puma
i inne https://t.co/6UbdhU6MQj"
12,Tue Jan 05 10:44:16 +0000 2021,!!! *** WSTRZĄSAJĄCA LISTA AFER PIS AKTUALIZACJA 4.01.2021 *** !!! https://t.co/zEGZJY75xF #AferyPiS #StrajkKobiet #SilniRazem #Jedziemy #JedziemyDalej #WieszWiecej #PISOff #Kwarantanna #Kaczyński #Morawiecki #Niedzielski #KPRM #pandemia
13,Tue Jan 05 10:43:35 +0000 2021,"Słowo roku w Polsce wg kapituły #UW:

1⃣ #koronawirus
2⃣ #kobiety
3⃣ #pandemia

Pozostałe nominowane słowa to: #kwarantanna; #lgbt; #lockdown; #medyk; #miękiszon; #szczepionka; #zdalny https://t.co/KGJkUdljIw"
14,Tue Jan 05 10:23:25 +0000 2021,!!! *** WSTRZĄSAJĄCA LISTA AFER PIS AKTUALIZACJA 4.01.2021 *** !!! https://t.co/zEGZJY75xF #AferyPiS #StrajkKobiet #SilniRazem #Jedziemy #JedziemyDalej #WieszWiecej #PISOff #Kwarantanna #Kaczyński #Morawiecki #Niedzielski #KPRM #pandemia
15,Tue Jan 05 10:01:16 +0000 2021,!!! *** WSTRZĄSAJĄCA LISTA AFER PIS AKTUALIZACJA 4.01.2021 *** !!! https://t.co/zEGZJY75xF #AferyPiS #StrajkKobiet #SilniRazem #Jedziemy #JedziemyDalej #WieszWiecej #PISOff #Kwarantanna #Kaczyński #Morawiecki #Niedzielski #KPRM #pandemia
16,Tue Jan 05 09:58:33 +0000 2021,W niedzielę w nocy wróciłem do Belgii. A że wczoraj byłem zmęczony i nic mi się nie chciało więc dziś pobiegłem do SKRZYNKI POCZTOWEJ a tutaj noworoczne pozdrowienia. Mandat za przekroczenie prędkości. Fajnie się zaczął 2021 #mandat 53 € i #kwarantanna do 13 styczeń https://t.co/0LkoxH0HOE
17,Tue Jan 05 09:38:13 +0000 2021,!!! *** WSTRZĄSAJĄCA LISTA AFER PIS AKTUALIZACJA 4.01.2021 *** !!! https://t.co/zEGZJY75xF #AferyPiS #StrajkKobiet #SilniRazem #Jedziemy #JedziemyDalej #WieszWiecej #PISOff #Kwarantanna #Kaczyński #Morawiecki #Niedzielski #KPRM #pandemia
18,Tue Jan 05 09:18:54 +0000 2021,W @jsw_sa odnotowano dziś 1 nowy przypadek zarażenia #koronawirus.em w Ruchu #Borynia. Od początku wystąpienia epidemii łącznie zainfekowanych zostało 4592 pracowników; do dziś wyzdrowiały 4574 osoby. #Kwarantanna to obecnie 44 osoby.
19,Tue Jan 05 09:01:44 +0000 2021,!!! *** WSTRZĄSAJĄCA LISTA AFER PIS AKTUALIZACJA 4.01.2021 *** !!! https://t.co/zEGZJY75xF #AferyPiS #StrajkKobiet #SilniRazem #Jedziemy #JedziemyDalej #WieszWiecej #PISOff #Kwarantanna #Kaczyński #Morawiecki #Niedzielski #KPRM #pandemia
20,Tue Jan 05 08:57:17 +0000 2021,!!! *** WSTRZĄSAJĄCA LISTA AFER PIS AKTUALIZACJA 4.01.2021 *** !!! https://t.co/zEGZJY75xF #AferyPiS #StrajkKobiet #SilniRazem #Jedziemy #JedziemyDalej #WieszWiecej #PISOff #Kwarantanna #Kaczyński #Morawiecki #Niedzielski #KPRM #pandemia
21,Tue Jan 05 08:40:42 +0000 2021,!!! *** WSTRZĄSAJĄCA LISTA AFER PIS AKTUALIZACJA 4.01.2021 *** !!! https://t.co/zEGZJY75xF #AferyPiS #StrajkKobiet #SilniRazem #Jedziemy #JedziemyDalej #WieszWiecej #PISOff #Kwarantanna #Kaczyński #Morawiecki #Niedzielski #KPRM #pandemia
