,date,text
0,Wed Jan 06 14:09:42 +0000 2021,"Święto 3 Króli; a zaszczepionych 400! W naszym szpitalu Jonschera szczepimy bohaterów pierwszej linii walki z wirusem z grupy ""0"". Muszą być zdrowi; żeby mogli pomagać #lodz https://t.co/8AXCGOfKuK"
1,Wed Jan 06 14:09:42 +0000 2021,"Święto 3 Króli; a zaszczepionych 400! W naszym szpitalu Jonschera szczepimy bohaterów pierwszej linii walki z wirusem z grupy ""0"". Muszą być zdrowi; żeby mogli pomagać #lodz https://t.co/8AXCGOfKuK"
2,Wed Jan 06 14:09:02 +0000 2021,"Święto 3 Króli; a zaszczepionych 400! W naszym szpitalu Jonschera szczepimy bohaterów pierwszej linii walki z wirusem z grupy ""0"". Muszą być zdrowi; żeby mogli pomagać #lodz https://t.co/8AXCGOfKuK"
3,Wed Jan 06 13:21:19 +0000 2021,Zbiór artykułów z przełomu lat 80. i 90. oraz końcówki 2. dziesięciolecia XXI w. Ponuro; chaotycznie; nieciekawie. Fascynująca; lecz trudna #Łódź zdecydowanie zasługuje na więcej. @CzarneWyd #readlist2021pl https://t.co/CUiisFvttK
4,Wed Jan 06 12:01:42 +0000 2021,#Homilia z 1 stycznia - o słowie jakie jesteśmy winni światu --&gt;&gt; https://t.co/EaI5dvLMwA #dominikanie #łódź https://t.co/iXjOeh5rxZ
5,Wed Jan 06 11:41:20 +0000 2021,"Jak podnieść podatki bez podnoszenia podatków? #polska #lodz #polityka#podatki #podatekcukrowy
https://t.co/L9ekOSONJW"
6,Wed Jan 06 11:30:19 +0000 2021,"Nic się nie zmarnuje. Zamiast wyrzucać na śmietnik; możecie dać swoim choinkom drugie życie i przerobić je na kompost. Również w tym roku MPO odbierze drzewka; które zdobiły Wasze domy na Święta 🎄
#Lodz https://t.co/DuQavt9lnm"
7,Wed Jan 06 11:11:15 +0000 2021,"Nic się nie zmarnuje. Zamiast wyrzucać na śmietnik; możecie dać swoim choinkom drugie życie i przerobić je na kompost. Również w tym roku MPO odbierze drzewka; które zdobiły Wasze domy na Święta 🎄
#Lodz https://t.co/DuQavt9lnm"
8,Wed Jan 06 11:01:06 +0000 2021,Pogoda dziś w #łódź: Cloudy. Temperatura min: -1 °C max: 2 °C. https://t.co/pqup81KreO #lodz
9,Wed Jan 06 10:51:40 +0000 2021,#Homilia z 1 stycznia - o słowie jakie jesteśmy winni światu --&gt;&gt; https://t.co/EaI5dvLMwA #dominikanie #łódź https://t.co/iXjOeh5rxZ
10,Wed Jan 06 10:18:50 +0000 2021,"#TrzechKróli w Łodzi. Msza na Święto Objawienia Pańskiego z Archikatedry #Łódź @ArchLodz. Na żywo tu:

https://t.co/jQLo8kwmx3"
11,Wed Jan 06 09:37:36 +0000 2021,"- Rząd zapomniał o samorządach - mówi @PZgorzelskiP; wicemarszałek Sejmu RP #Koalicja Polska.

#szczepimysie #szczepienia #KoronawirusWPolsce #pandemia #samorządy #Warszawa #Poznań #Bydgoszcz #Kraków #Wrocław #Szczecin #Łódź #Gdańsk #Katowice https://t.co/mpuRlzt5uE"
12,Wed Jan 06 09:16:13 +0000 2021,Ten moment; gdy dziennikarz The Guardian nie może się już doczekać urlopu w Łodzi; a prestiżowy brytyjski serwis umieszcza nasze miasto wśród 21 najciekawszych miejsc do odwiedzenia w 2021 r. Jeszcze trochę i żegnamy pandemię; witamy turystów https://t.co/ygosxqYobS #lodz
13,Wed Jan 06 09:06:03 +0000 2021,"#ŁÓDŹ
Aktualna #MAPA korków przekraczających 10 min.

⚠️ #Korkometr: 2/12
🕙 Godzina: 10:00

#Traffic #AutoMapaAlert #Korek #Utrudnienia #KorkometrŁÓDŹ https://t.co/WqEvjIsEhn"
14,Wed Jan 06 08:06:03 +0000 2021,"#ŁÓDŹ
Oto aktualny #KorkometrŁÓDŹ

⚠️ #Korkometr: 3/12
🕘 Godzina: 09:00
🚦Aktualne czasy dojazdu do Centrum i lista największych korków

#Traffic #AutoMapaAlert #Korek #Utrudnienia https://t.co/3JJ6Zv2V5P"
15,Wed Jan 06 07:41:49 +0000 2021,Wymarzone wakacje 2021 według @guardian i 21 tegorocznych destynacji w Europie; a na liście... #Lodz. Miło. Wydaje się też; że autor @crsdavies jest dowcipnym facetem; bo na tt swoją lokację oznaczył jako... Lądek Zdrój. Każdy w Polsce wie; że nie ma takiego miasta jak Londyn... https://t.co/CWBtpZQrXX
16,Wed Jan 06 07:09:03 +0000 2021,Pogoda dziś w #łódź: Cloudy. Temperatura min: -1 °C max: 2 °C. https://t.co/pqup81KreO
17,Wed Jan 06 07:06:03 +0000 2021,"#ŁÓDŹ
Aktualna #MAPA korków przekraczających 10 min.

⚠️ #Korkometr: 3/12
🕗 Godzina: 08:00

#Traffic #AutoMapaAlert #Korek #Utrudnienia #KorkometrŁÓDŹ https://t.co/jc7H5xWhzg"
18,Wed Jan 06 06:25:24 +0000 2021,"Idealna muzyka na start &lt;3 &lt;3 &lt;3 

Polecam ! ! !

https://t.co/6E7SAPEHp8…

#Poland 
#Niemcy 
#Polska
#Warszawa
#Kraków
#Łódź
#Wrocław
#Poznań
#Gdańsk
#Szczecin
#Bydgoszcz
#Lublin 
#Białystok
#Katowice 
#Gdynia 
#Częstochowa 
#Toruń 
#Anglia"
19,Wed Jan 06 06:18:00 +0000 2021,"Nie na mazury; nie w góry; ale do Łodzi! Nasze miasto znalazło się na prestiżowej liście 21 miejsc; gdzie warto spędzić wakacje według @guardian 
#Lodz #Łódź https://t.co/BogUYrnblX"
20,Tue Jan 05 22:45:06 +0000 2021,Urodziny Planetarium oraz Centrum Nauki i Techniki EC1 #Łódź. Obchody online https://t.co/yEnQIop4rn
21,Tue Jan 05 21:49:07 +0000 2021,"Nie na mazury; nie w góry; ale do Łodzi! Nasze miasto znalazło się na prestiżowej liście 21 miejsc; gdzie warto spędzić wakacje według @guardian 
#Lodz #Łódź https://t.co/BogUYrnblX"
