,date,text
0,Thu Jan 21 10:44:55 +0000 2021,Krótki i prosty przepis na #Hummus. Bardzo lubię; smaczny; posiada wiele wariacji u odmian. #Vege #food #WegeChallange https://t.co/AvOGL20OZj
1,Thu Jan 21 10:44:55 +0000 2021,Krótki i prosty przepis na #Hummus. Bardzo lubię; smaczny; posiada wiele wariacji u odmian. #Vege #food #WegeChallange https://t.co/AvOGL20OZj
2,Mon Jan 18 08:40:45 +0000 2021,Dziś #FabrykaAzbestu miała wolne to se pojezdzilem 🚴‍♂️co prawda nie ma co szpanować temperaturami odczuwalna tylko -4 tylko trochę woda zamarzła ❄️❄️ale na koniec regialne danie dla fizola 😎😂#morsowanie #vege Kolding 🇩🇰🇪🇺🍷 https://t.co/N57fjA1jxC
3,Mon Jan 18 07:18:14 +0000 2021,"Przepis na francuskie ratatouille na Facebooku i IG
#gotowanie #kuchniafrancuska #ratatouille #wege #vege #vegetarian https://t.co/vEr3DL0YAS"
4,Sun Jan 17 17:49:09 +0000 2021,Dziś #FabrykaAzbestu miała wolne to se pojezdzilem 🚴‍♂️co prawda nie ma co szpanować temperaturami odczuwalna tylko -4 tylko trochę woda zamarzła ❄️❄️ale na koniec regialne danie dla fizola 😎😂#morsowanie #vege Kolding 🇩🇰🇪🇺🍷 https://t.co/N57fjA1jxC
5,Sun Jan 17 16:36:50 +0000 2021,Inny sposób podania burgera. Burgery od Vivery. Szukajcie w Auchan; @CarrefourPolska ; Stokrotka-supermarkety; FRAC; @Friscopl ; Intermarche Gdynia; Leclerc Ursynów; Radom; Stalowa Wola; Selgros. #vege https://t.co/8dcUonFYd4
6,Sun Jan 17 15:42:31 +0000 2021,Inny sposób podania burgera. Burgery od Vivery. Szukajcie w Auchan; @CarrefourPolska ; Stokrotka-supermarkety; FRAC; @Friscopl ; Intermarche Gdynia; Leclerc Ursynów; Radom; Stalowa Wola; Selgros. #vege https://t.co/8dcUonFYd4
7,Sun Jan 17 15:41:43 +0000 2021,Inny sposób podania burgera. Burgery od Vivery. Szukajcie w Auchan; @CarrefourPolska ; Stokrotka-supermarkety; FRAC; @Friscopl ; Intermarche Gdynia; Leclerc Ursynów; Radom; Stalowa Wola; Selgros. #vege https://t.co/8dcUonFYd4
8,Sat Jan 16 19:54:04 +0000 2021,czy tylko dla mnie nie jedzenie mięsa a jedzenie ryb jest największą hipokryzją? 🤔 #vege #wege
9,Sat Jan 16 19:21:59 +0000 2021,Po końcu pracy w #FabrykaAzbestu kąpiemy się w zimnej wodzie szefostwo zamknęło ciepłą 🤷‍♂️ale w nagrodę otworzyli kosmopolitalną kuchnie 😎gotować w takim towarzystwie💪 trochę głupio szukają gdzie mięcho 😂#vege #morsowanie Kolding 🇩🇰🇪🇺🍷🍷 https://t.co/jwQcHHkqDO
10,Sat Jan 16 19:20:59 +0000 2021,Po końcu pracy w #FabrykaAzbestu kąpiemy się w zimnej wodzie szefostwo zamknęło ciepłą 🤷‍♂️ale w nagrodę otworzyli kosmopolitalną kuchnie 😎gotować w takim towarzystwie💪 trochę głupio szukają gdzie mięcho 😂#vege #morsowanie Kolding 🇩🇰🇪🇺🍷🍷 https://t.co/jwQcHHkqDO
11,Sat Jan 16 19:15:08 +0000 2021,Po końcu pracy w #FabrykaAzbestu kąpiemy się w zimnej wodzie szefostwo zamknęło ciepłą 🤷‍♂️ale w nagrodę otworzyli kosmopolitalną kuchnie 😎gotować w takim towarzystwie💪 trochę głupio szukają gdzie mięcho 😂#vege #morsowanie Kolding 🇩🇰🇪🇺🍷🍷 https://t.co/jwQcHHkqDO
12,Sat Jan 16 14:52:20 +0000 2021,"Pierwsza próba zupy #miso #vege #KacikKulinarny
@NinaK03210230 @tradtec2101 @Holinea69 @vdoofix @krzyches @Bemik62 @MagorzataGrajew @Marzena12683472 @jablkoadama @PrzemekzPlocka @szepytcki @joanna_gacka 
@PoprostuKrzys1 ponoc wiesz czym różni się ramen; miso i pho? Napiszesz? https://t.co/fURKdyXVZg"
13,Sat Jan 16 14:07:24 +0000 2021,@ReLucyna @NinaK03210230 @tradtec2101 @Holinea69 @vdoofix @krzyches @Bemik62 @MagorzataGrajew @Marzena12683472 @jablkoadama @PrzemekzPlocka @szepytcki @joanna_gacka @PoprostuKrzys1 W wersji #vege to już sama nie wiem; chyba tak; jak dziś zrobiłam trzeba:)))  Dziekuje Ci bardzo!
14,Sat Jan 16 14:02:16 +0000 2021,@lisciasty_ Czyli #vege! 💖
15,Sat Jan 16 13:24:21 +0000 2021,"Pierwsza próba zupy #miso #vege #KacikKulinarny
@NinaK03210230 @tradtec2101 @Holinea69 @vdoofix @krzyches @Bemik62 @MagorzataGrajew @Marzena12683472 @jablkoadama @PrzemekzPlocka @szepytcki @joanna_gacka 
@PoprostuKrzys1 ponoc wiesz czym różni się ramen; miso i pho? Napiszesz? https://t.co/fURKdyXVZg"
16,Sat Jan 16 10:36:27 +0000 2021,co mogę zrobić szybkiego i prostego z tofu na obiad? #tweetme #vege
17,Fri Jan 15 10:10:34 +0000 2021,"@misiek_86 Ja byłem 40 lat mięsożerny. Kubeczki smakowe to pamiętają. I powiem ci; że jak na #vege zamienniki; to smak oddają w jakiś 80-90%; a to już mi w zupełności wystarcza.
Smak dopracowany do tego stopnia; że Małża sznycla nie zje; bo za bardzo mięsny dla niej się wydaje."
18,Thu Jan 14 17:56:01 +0000 2021,Robimy domową wersje #vege kanapki drwala. Z krążkami cebulowymi! Chętni? https://t.co/fIRpihNbtM
19,Thu Jan 14 17:56:01 +0000 2021,Robimy domową wersje #vege kanapki drwala. Z krążkami cebulowymi! Chętni? https://t.co/fIRpihNbtM
20,Mon Jan 18 08:40:45 +0000 2021,Dziś #FabrykaAzbestu miała wolne to se pojezdzilem 🚴‍♂️co prawda nie ma co szpanować temperaturami odczuwalna tylko -4 tylko trochę woda zamarzła ❄️❄️ale na koniec regialne danie dla fizola 😎😂#morsowanie #vege Kolding 🇩🇰🇪🇺🍷 https://t.co/N57fjA1jxC
21,Thu Jan 14 17:56:01 +0000 2021,Robimy domową wersje #vege kanapki drwala. Z krążkami cebulowymi! Chętni? https://t.co/fIRpihNbtM
22,Mon Jan 18 07:18:14 +0000 2021,"Przepis na francuskie ratatouille na Facebooku i IG
#gotowanie #kuchniafrancuska #ratatouille #wege #vege #vegetarian https://t.co/vEr3DL0YAS"
23,Thu Jan 14 17:56:01 +0000 2021,Robimy domową wersje #vege kanapki drwala. Z krążkami cebulowymi! Chętni? https://t.co/fIRpihNbtM
24,Sun Jan 17 17:49:09 +0000 2021,Dziś #FabrykaAzbestu miała wolne to se pojezdzilem 🚴‍♂️co prawda nie ma co szpanować temperaturami odczuwalna tylko -4 tylko trochę woda zamarzła ❄️❄️ale na koniec regialne danie dla fizola 😎😂#morsowanie #vege Kolding 🇩🇰🇪🇺🍷 https://t.co/N57fjA1jxC
25,Thu Jan 14 17:56:01 +0000 2021,Robimy domową wersje #vege kanapki drwala. Z krążkami cebulowymi! Chętni? https://t.co/fIRpihNbtM
26,Sun Jan 17 16:36:50 +0000 2021,Inny sposób podania burgera. Burgery od Vivery. Szukajcie w Auchan; @CarrefourPolska ; Stokrotka-supermarkety; FRAC; @Friscopl ; Intermarche Gdynia; Leclerc Ursynów; Radom; Stalowa Wola; Selgros. #vege https://t.co/8dcUonFYd4
27,Thu Jan 14 17:56:01 +0000 2021,Robimy domową wersje #vege kanapki drwala. Z krążkami cebulowymi! Chętni? https://t.co/fIRpihNbtM
28,Sun Jan 17 15:42:31 +0000 2021,Inny sposób podania burgera. Burgery od Vivery. Szukajcie w Auchan; @CarrefourPolska ; Stokrotka-supermarkety; FRAC; @Friscopl ; Intermarche Gdynia; Leclerc Ursynów; Radom; Stalowa Wola; Selgros. #vege https://t.co/8dcUonFYd4
29,Thu Jan 14 17:56:01 +0000 2021,Robimy domową wersje #vege kanapki drwala. Z krążkami cebulowymi! Chętni? https://t.co/fIRpihNbtM
30,Sun Jan 17 15:41:43 +0000 2021,Inny sposób podania burgera. Burgery od Vivery. Szukajcie w Auchan; @CarrefourPolska ; Stokrotka-supermarkety; FRAC; @Friscopl ; Intermarche Gdynia; Leclerc Ursynów; Radom; Stalowa Wola; Selgros. #vege https://t.co/8dcUonFYd4
31,Thu Jan 14 17:56:01 +0000 2021,Robimy domową wersje #vege kanapki drwala. Z krążkami cebulowymi! Chętni? https://t.co/fIRpihNbtM
32,Sat Jan 16 19:54:04 +0000 2021,czy tylko dla mnie nie jedzenie mięsa a jedzenie ryb jest największą hipokryzją? 🤔 #vege #wege
33,Thu Jan 14 17:56:01 +0000 2021,Robimy domową wersje #vege kanapki drwala. Z krążkami cebulowymi! Chętni? https://t.co/fIRpihNbtM
